Precio,Poder_máximo_BHP
5952,67.05
6996,65.71
7128,61.68
7188,67.06
7188,65.71
7704,59.17
7812,76.43
8400,65.71
8400,76.43
8856,84.48
9000,85
9264,81.8
9384,72
9408,82
9672,108.62
10212,71
10308,72.4
10620,88.5
10644,98.63
11016,88.5
11388,84.48
11652,88.5
12000,117.6
12300,88.77
12312,74.96
12384,88.5
12744,98.63
12948,98.63
13800,79.12
13848,118.36
14076,100
14376,103.25
14772,97.89
15264,118.41
15348,101.65
15504,103.25
16548,113.43
16752,101.65
16884,115
16896,108.49
17328,108.62
17388,89.84
17460,101.65
17880,153.87
18528,120.96
18540,113.45
18588,130.07
18624,97.89
19236,130
21504,147.51
21756,138.08
21816,113.45
22068,147.52
22320,147.51
22380,113.43
23388,147.51
24132,167.68
24300,113.42
24900,167.67
24900,167.67
26640,167.67
28680,172.45
31056,173.83
